key	calle	altura	barrio	usig_lat	usig_lon	georef_lat	georef_lon	n_ok	max_pairwise_m	consensus_lat	consensus_lon
calderon de la barca|3035|villa devoto	Calderon De La Barca	3035	Villa Devoto	-34.614027	-58.522161	-34.614037620865126	-58.522217254477255	2	5.3	-34.6140323	-58.5221891
ruiz huidobro|2300|nunez	Ruiz Huidobro	2300	Nuñez	-34.543931	-58.470125	-34.5439767843204	-58.4703025962439	2	17.1	-34.5439539	-58.4702138
cramer|2387|belgrano	Cramer	2387	Belgrano	-34.562124	-58.463462	-34.56208018998471	-58.46362947206783	2	16.1	-34.5621021	-58.4635457
av belgrano|4200|almagro	Avenida Belgrano	4200	Almagro	-34.616011	-58.425804	-34.6159809480098	-58.4259151193338	2	10.7	-34.615996	-58.4258596
juana azurduy|3400|saavedra	Juana Azurduy	3400	Saavedra	-34.555671	-58.475374	-34.5556887035112	-58.4754915632389	2	11.0	-34.5556799	-58.4754328
gral lucio norberto mansilla|2739|recoleta	Gral Lucio Norberto Mansilla	2739	Recoleta	-34.595559	-58.406031			1		-34.595559	-58.406031
juramento|4800|villa urquiza	Juramento	4800	Villa Urquiza	-34.57526	-58.479322	-34.5752777108616	-58.4794388066923	2	10.9	-34.5752689	-58.4793804
san jose de calasanz|480|caballito	San José De Calasanz	480	Caballito	-34.624317	-58.437658	-34.62441333584277	-58.43771378749809	2	11.8	-34.6243652	-58.4376859
congreso|4000|coghlan	Congreso	4000	Coghlan	-34.564114	-58.47912	-34.5640659271614	-58.4793119275717	2	18.4	-34.56409	-58.479216
sarmiento|3000|balvanera	Sarmiento	3000	Balvanera	-34.606711	-58.408483	-34.6066817759459	-58.4087385015134	2	23.7	-34.6066964	-58.4086108
charlone|1600|villa ortuzar	Charlone	1600	Villa Ortuzar	-34.58068	-58.464606	-34.5806401126487	-58.4647154324492	2	11.0	-34.5806601	-58.4646607
echeverria|2600|belgrano	Echeverria	2600	Belgrano	-34.564063	-58.457624	-34.5640917467751	-58.4577490630807	2	11.9	-34.5640774	-58.4576865
acevedo|800|villa crespo	Acevedo	800	Villa Crespo	-34.595252	-58.436323	-34.5952352745046	-58.4361943576188	2	11.9	-34.5952436	-58.4362587
scalabrini ortiz|2100|palermo	Scalabrini Ortiz	2100	Palermo	-34.587775	-58.420324	-34.5877882784175	-58.4201673641541	2	14.4	-34.5877816	-58.4202457
dante|168|villa luro	Dante	168	Villa Luro	-34.639621	-58.500493	-34.639743081728405	-58.50051847143965	2	13.7	-34.639682	-58.5005057
av cordoba|618|san nicolas	Av. Córdoba	618	San Nicolas	-34.598814	-58.375737	-34.598723199509216	-58.375623477324424	2	14.5	-34.5987686	-58.3756802
av santa fe|5300|belgrano	Avenida Santa Fe	5300	Belgrano	-34.575781	-58.434261	-34.5754797684041	-58.4341009828316	2	36.5	-34.5756304	-58.434181
cordoba|1800|recoleta	Cordoba	1800	Recoleta	-34.599704	-58.392676	-34.5996371729946	-58.3929309879911	2	24.5	-34.5996706	-58.3928035
blanco encalada|3400|belgrano	Blanco Encalada	3400	Belgrano	-34.56505	-58.468846	-34.5650738404235	-58.4689618904358	2	11.0	-34.5650619	-58.4689039
